"","ALTM","KLINIKTYP","count","sectiorate"
"1",11,"1",2,1
"2",12,"1",3,0.333333333333333
"3",13,"1",27,0.222222222222222
"4",13,"2",1,0
"5",14,"1",221,0.167420814479638
"6",15,"1",1193,0.181894383906119
"7",15,"2",3,0
"8",16,"1",3776,0.143273305084746
"9",16,"2",14,0.214285714285714
"10",17,"1",8656,0.154921441774492
"11",17,"2",46,0.304347826086957
"12",18,"1",15270,0.166404715127701
"13",18,"2",65,0.338461538461538
"14",19,"1",24704,0.177056347150259
"15",19,"2",114,0.315789473684211
"16",20,"1",31295,0.178367151302125
"17",20,"2",198,0.343434343434343
"18",21,"1",36464,0.18579969284774
"19",21,"2",281,0.384341637010676
"20",22,"1",40375,0.194229102167183
"21",22,"2",408,0.406862745098039
"22",23,"1",44309,0.200659008327879
"23",23,"2",608,0.368421052631579
"24",24,"1",48310,0.207451873318154
"25",24,"2",852,0.389671361502347
"26",25,"1",52150,0.215225311601151
"27",25,"2",1263,0.363420427553444
"28",26,"1",54318,0.222412459958025
"29",26,"2",1613,0.344079355238686
"30",27,"1",54911,0.232157491213054
"31",27,"2",2090,0.380861244019139
"32",28,"1",53451,0.246150680062113
"33",28,"2",2441,0.405571487095453
"34",29,"1",51453,0.256603113521078
"35",29,"2",2912,0.373282967032967
"36",30,"1",47322,0.269071467816238
"37",30,"2",3284,0.41626065773447
"38",31,"1",42152,0.281860884418296
"39",31,"2",3362,0.420880428316478
"40",32,"1",35253,0.302952940175304
"41",32,"2",3216,0.443718905472637
"42",33,"1",29129,0.325380205293694
"43",33,"2",2838,0.43199436222692
"44",34,"1",23841,0.339666960278512
"45",34,"2",2626,0.472201066260472
"46",35,"1",19464,0.363645704891081
"47",35,"2",2311,0.488533102553007
"48",36,"1",15354,0.386348834180018
"49",36,"2",1850,0.521081081081081
"50",37,"1",11717,0.404881795681488
"51",37,"2",1411,0.527994330262225
"52",38,"1",8690,0.434522439585731
"53",38,"2",1089,0.565656565656566
"54",39,"1",6464,0.455445544554455
"55",39,"2",863,0.577056778679027
"56",40,"1",4691,0.491792794713281
"57",40,"2",697,0.619799139167862
"58",41,"1",2788,0.515423242467719
"59",41,"2",395,0.643037974683544
"60",42,"1",1698,0.535335689045936
"61",42,"2",237,0.69620253164557
"62",43,"1",899,0.577308120133482
"63",43,"2",122,0.745901639344262
"64",44,"1",456,0.614035087719298
"65",44,"2",71,0.816901408450704
"66",45,"1",222,0.734234234234234
"67",45,"2",46,0.804347826086957
"68",46,"1",127,0.763779527559055
"69",46,"2",14,0.928571428571429
"70",47,"1",70,0.742857142857143
"71",47,"2",12,1
"72",48,"1",26,0.961538461538462
"73",48,"2",9,1
"74",49,"1",31,0.903225806451613
"75",49,"2",10,1
"76",50,"1",24,0.791666666666667
"77",50,"2",2,1
"78",51,"1",9,0.888888888888889
"79",51,"2",3,1
"80",52,"1",8,1
"81",53,"1",4,1
"82",53,"2",1,1
"83",54,"1",2,1
"84",54,"2",1,1
"85",55,"1",3,1
"86",55,"2",1,1
"87",56,"1",3,1
"88",58,"1",1,1
