"","ALTM","BILDM","count","sectiorate"
"1",12,"1",1,0
"2",13,"1",14,0.214285714285714
"3",13,"3",4,0
"4",14,"1",129,0.170542635658915
"5",14,"2",9,0
"6",14,"3",14,0.0714285714285714
"7",15,"1",852,0.186619718309859
"8",15,"2",76,0.131578947368421
"9",15,"3",52,0.0961538461538462
"10",15,"4",3,0.333333333333333
"11",16,"1",2605,0.133973128598848
"12",16,"2",594,0.143097643097643
"13",16,"3",71,0.140845070422535
"14",16,"4",3,0.666666666666667
"15",17,"1",5231,0.151405085069776
"16",17,"2",2285,0.14617067833698
"17",17,"3",177,0.0903954802259887
"18",17,"4",8,0.125
"19",18,"1",7086,0.170900366920689
"20",18,"2",6097,0.158110546170248
"21",18,"3",475,0.136842105263158
"22",18,"4",16,0.125
"23",19,"1",8610,0.178513356562137
"24",19,"2",12333,0.171328954836617
"25",19,"3",1170,0.141880341880342
"26",19,"4",75,0.146666666666667
"27",20,"1",8713,0.178354183404109
"28",20,"2",17268,0.175758628677322
"29",20,"3",1990,0.151256281407035
"30",20,"4",186,0.17741935483871
"31",21,"1",8527,0.183651929166178
"32",21,"2",20565,0.182445903233649
"33",21,"3",3090,0.160517799352751
"34",21,"4",338,0.171597633136095
"35",22,"1",7944,0.20531218529708
"36",22,"2",22831,0.190793219745083
"37",22,"3",4286,0.157256182921139
"38",22,"4",685,0.18978102189781
"39",23,"1",7260,0.203030303030303
"40",23,"2",24806,0.199266306538741
"41",23,"3",5874,0.177562138236296
"42",23,"4",1245,0.177510040160643
"43",24,"1",6613,0.209284742174505
"44",24,"2",26473,0.206890038907566
"45",24,"3",7450,0.182818791946309
"46",24,"4",2128,0.191259398496241
"47",25,"1",6015,0.22310889443059
"48",25,"2",27898,0.216359595669941
"49",25,"3",9033,0.19218421343961
"50",25,"4",3319,0.196746007833685
"51",26,"1",5363,0.242774566473988
"52",26,"2",27994,0.220868757590912
"53",26,"3",10205,0.208427241548261
"54",26,"4",4791,0.187017324149447
"55",27,"1",4728,0.27178510998308
"56",27,"2",26767,0.229947323196473
"57",27,"3",10600,0.213018867924528
"58",27,"4",6705,0.219388516032811
"59",28,"1",4056,0.275147928994083
"60",28,"2",24220,0.24793559042114
