"","ALTM","count","sectiorate"
"1",11,2,1
"2",12,4,0.25
"3",13,28,0.214285714285714
"4",14,222,0.166666666666667
"5",15,1208,0.179635761589404
"6",16,3820,0.142931937172775
"7",17,8781,0.154765971984968
"8",18,15433,0.166461478649647
"9",19,24979,0.177108771367949
"10",20,31716,0.178553411527305
"11",21,37005,0.18635319551412
"12",22,41078,0.195287014947174
"13",23,45339,0.201592448002823
"14",24,49624,0.20921328389489
"15",25,53956,0.217047223663726
"16",26,56596,0.224132447522793
"17",27,57698,0.235606086866096
"18",28,56600,0.250618374558304
"19",29,55103,0.260258062174473
"20",30,51394,0.275109935011869
"21",31,46219,0.288582617538242
"22",32,39036,0.311123065887898
"23",33,32429,0.331061704030343
"24",34,26853,0.348601645998585
"25",35,22105,0.372359194752318
"26",36,17432,0.396569527306104
"27",37,13314,0.412873666816884
"28",38,9901,0.443995556004444
"29",39,7407,0.46591062508438
"30",40,5457,0.503573391973612
"31",41,3210,0.527102803738318
"32",42,1955,0.551406649616368
"33",43,1028,0.593385214007782
"34",44,531,0.63653483992467
"35",45,270,0.744444444444444
"36",46,141,0.780141843971631
"37",47,83,0.771084337349398
"38",48,36,0.944444444444444
"39",49,41,0.926829268292683
"40",50,26,0.807692307692308
"41",51,12,0.916666666666667
"42",52,8,1
"43",53,5,1
"44",54,3,1
"45",55,4,1
"46",56,3,1
"47",58,1,1
