"","ALTM","prevbirthoutcome","count","sectiorate"
"1",11,"3",2,1
"2",12,"3",4,0.25
"3",13,"3",28,0.214285714285714
"4",14,"0",1,0
"5",14,"3",222,0.166666666666667
"6",15,"0",13,0.153846153846154
"7",15,"1",6,1
"8",15,"3",1207,0.178956089478045
"9",16,"0",81,0.0493827160493827
"10",16,"1",28,0.678571428571429
"11",16,"3",3818,0.143006809848088
"12",17,"0",313,0.060702875399361
"13",17,"1",86,0.674418604651163
"14",17,"3",8775,0.154757834757835
"15",18,"0",984,0.0802845528455285
"16",18,"1",246,0.699186991869919
"17",18,"3",15416,0.166580176440062
"18",19,"0",2436,0.0743021346469622
"19",19,"1",493,0.657200811359026
"20",19,"3",24946,0.177022368315562
"21",20,"0",4784,0.06438127090301
"22",20,"1",1083,0.671283471837488
"23",20,"3",31651,0.178319800322265
"24",21,"0",8151,0.0706661759293338
"25",21,"1",1757,0.665338645418327
"26",21,"3",36906,0.186148593724598
"27",22,"0",12196,0.0714988520826501
"28",22,"1",2655,0.651600753295669
"29",22,"3",40958,0.195175545680941
"30",23,"0",16623,0.0734524454069663
"31",23,"1",3564,0.657687991021324
"32",23,"3",45191,0.201256887433338
"33",24,"0",21166,0.0743645469148635
"34",24,"1",4892,0.655355682747343
"35",24,"3",49459,0.208698113589033
"36",25,"0",25493,0.080139646177382
"37",25,"1",5962,0.674438108017444
"38",25,"3",53751,0.216572714926234
"39",26,"0",29960,0.0807743658210948
"40",26,"1",6779,0.670747897920047
"41",26,"3",56404,0.223849372384937
"42",27,"0",33517,0.084583942476952
"43",27,"1",8134,0.679001721170396
"44",27,"3",57491,0.235254213703014
"45",28,"0",37200,0.0872043010752688
"46",28,"1",8922,0.660277964581932
"47",28,"3",56400,0.250265957446809
"48",29,"0",39048,0.0901454619954927
"49",29,"1",9999,0.675267526752675
"50",29,"3",54878,0.259849119865884
"51",30,"0",39269,0.0958262242481347
"52",30,"1",10367,0.684768978489438
"53",30,"3",51188,0.274830038290224
"54",31,"0",38929,0.0994888129671967
"55",31,"1",10601,0.693330817847373
"56",31,"3",46002,0.288096169731751
"57",32,"0",36875,0.104461016949153
"58",32,"1",10550,0.701990521327014
"59",32,"3",38848,0.310672364085667
"60",33,"0",33878,0.10853651337151
"61",33,"1",9918,0.706997378503731
"62",33,"3",32261,0.330646911131087
"63",34,"0",29508,0.114002982242104
"64",34,"1",9089,0.725162284079657
"65",34,"3",26697,0.348316290219875
"66",35,"0",25252,0.123000158403295
"67",35,"1",8077,0.738640584375387
"68",35,"3",21973,0.372184044054066
"69",36,"0",20788,0.127814123532807
"70",36,"1",6794,0.755078010008831
"71",36,"3",17328,0.396468144044321
"72",37,"0",16653,0.136251726415661
"73",37,"1",5585,0.750402864816473
"74",37,"3",13222,0.41241869611254
"75",38,"0",12618,0.145981930575369
"76",38,"1",4532,0.767431597528685
"77",38,"3",9815,0.44350483953133
"78",39,"0",9562,0.152164819075507
"79",39,"1",3358,0.791840381179273
"80",39,"3",7344,0.465822440087146
"81",40,"0",6670,0.160419790104948
"82",40,"1",2622,0.796338672768879
"83",40,"3",5421,0.502674783250323
"84",41,"0",4202,0.176344597810566
"85",41,"1",1507,0.792302587923026
"86",41,"3",3183,0.527489789506755
"87",42,"0",2613,0.176808266360505
"88",42,"1",946,0.808668076109937
"89",42,"3",1937,0.551368094992256
"90",43,"0",1445,0.178546712802768
"91",43,"1",513,0.807017543859649
"92",43,"3",1021,0.592556317335945
"93",44,"0",754,0.209549071618037
"94",44,"1",288,0.857638888888889
"95",44,"3",524,0.637404580152672
"96",45,"0",282,0.209219858156028
"97",45,"1",131,0.885496183206107
"98",45,"3",268,0.746268656716418
"99",46,"0",128,0.25
"100",46,"1",94,0.914893617021277
"101",46,"3",138,0.782608695652174
"102",47,"0",58,0.258620689655172
"103",47,"1",40,0.9
"104",47,"3",83,0.771084337349398
"105",48,"0",21,0.380952380952381
"106",48,"1",24,0.958333333333333
"107",48,"3",36,0.944444444444444
"108",49,"0",8,0.5
"109",49,"1",26,1
"110",49,"3",41,0.926829268292683
"111",50,"0",14,0.285714285714286
"112",50,"1",9,1
"113",50,"3",26,0.807692307692308
"114",51,"0",1,0
"115",51,"1",11,1
"116",51,"3",11,0.909090909090909
"117",52,"0",2,0.5
"118",52,"1",1,1
"119",52,"3",8,1
"120",53,"0",1,1
"121",53,"1",2,1
"122",53,"3",5,1
"123",54,"0",1,0
"124",54,"3",3,1
"125",55,"1",6,1
"126",55,"3",4,1
"127",56,"3",3,1
"128",58,"1",2,1
"129",58,"3",1,1
