"","GEBJAHR","count","sectiorate"
"1",1995,39440,0.1526369168357
"2",1996,39462,0.159849982261416
"3",1997,37932,0.170937467046293
"4",1998,36408,0.17627993847506
"5",1999,35449,0.197466783266101
"6",2000,35575,0.202867182009838
"7",2001,34733,0.219013618172919
"8",2002,35793,0.237783924230995
"9",2003,35241,0.251865724582163
"10",2004,36411,0.264782620636621
"11",2005,36221,0.272963198144723
"12",2006,36288,0.282517636684303
"13",2007,35261,0.296219619409546
"14",2008,36392,0.306001318971202
"15",2009,35953,0.308680777681974
"16",2010,37267,0.306464164005689
"17",2011,37463,0.305768358113338
"18",2012,37979,0.311277284815293
"19",2013,38168,0.307089708656466
"20",2014,39224,0.314348358148073
"21",2015,40353,0.31303744455183
"22",2016,41083,0.30852177299613
