"","GEBJAHR","ALTM","GEBURTENFOLGE_LEB","count","sectiorate","totalbirthsperyear","GEBJAHRdistri","referencedistripar","agecorrectedsectiopar"
"1",1995,11,"1",1,1,88669,1.12778987019139e-05,1.12778987019139e-05,1.12778987019139e-05
"2",1995,11,"2",0,0,88669,0,0,0
"3",1995,11,"3",0,0,88669,0,0,0
"4",1995,11,"4",0,0,88669,0,0,0
"5",1995,12,"1",0,0,88669,0,0,0
"6",1995,12,"2",0,0,88669,0,0,0
"7",1995,12,"3",0,0,88669,0,0,0
"8",1995,12,"4",0,0,88669,0,0,0
"9",1995,13,"1",3,0.333333333333333,88669,3.38336961057416e-05,3.38336961057416e-05,1.12778987019139e-05
"10",1995,13,"2",0,0,88669,0,0,0
"11",1995,13,"3",0,0,88669,0,0,0
"12",1995,13,"4",0,0,88669,0,0,0
"13",1995,14,"1",12,0.0833333333333333,88669,0.000135334784422966,0.000135334784422966,1.12778987019139e-05
"14",1995,14,"2",2,0,88669,2.25557974038277e-05,2.25557974038277e-05,0
"15",1995,14,"3",0,0,88669,0,0,0
"16",1995,14,"4",0,0,88669,0,0,0
"17",1995,15,"1",71,0.183098591549296,88669,0.000800730807835884,0.000800730807835884,0.00014661268312488
"18",1995,15,"2",3,0,88669,3.38336961057416e-05,3.38336961057416e-05,0
"19",1995,15,"3",0,0,88669,0,0,0
"20",1995,15,"4",0,0,88669,0,0,0
"21",1995,16,"1",212,0.0943396226415094,88669,0.00239091452480574,0.00239091452480574,0.000225557974038277
"22",1995,16,"2",6,0.166666666666667,88669,6.76673922114832e-05,6.76673922114832e-05,1.12778987019139e-05
"23",1995,16,"3",0,0,88669,0,0,0
"24",1995,16,"4",0,0,88669,0,0,0
"25",1995,17,"1",562,0.0747330960854092,88669,0.00633817907047559,0.00633817907047559,0.000473671745480382
"26",1995,17,"2",37,0.0810810810810811,88669,0.000417282251970813,0.000417282251970813,3.38336961057416e-05
"27",1995,17,"3",3,0.333333333333333,88669,3.38336961057416e-05,3.38336961057416e-05,1.12778987019139e-05
"28",1995,17,"4",0,0,88669,0,0,0
"29",1995,18,"1",921,0.0944625407166124,88669,0.0103869447044627,0.0103869447044627,0.000981177187066506
"30",1995,18,"2",114,0.0789473684210526,88669,0.00128568045201818,0.00128568045201818,0.000101501088317225
"31",1995,18,"3",6,0,88669,6.76673922114832e-05,6.76673922114832e-05,0
"32",1995,18,"4",0,0,88669,0,0,0
"33",1995,19,"1",1654,0.115477629987908,88669,0.0186536444529655,0.0186536444529655,0.00215407865206555
"34",1995,19,"2",257,0.101167315175097,88669,0.00289841996639186,0.00289841996639186,0.00029322536624976
"35",1995,19,"3",28,0.142857142857143,88669,0.000315781163653588,0.000315781163653588,4.51115948076554e-05
"36",1995,19,"4",2,0.5,88669,2.25557974038277e-05,2.25557974038277e-05,1.12778987019139e-05
"37",1995,20,"1",2066,0.105033881897386,88669,0.023300138718154,0.023300138718154,0.00244730401831531
"38",1995,20,"2",540,0.0796296296296296,88669,0.00609006529903348,0.00609006529903348,0.000484949644182296
"39",1995,20,"3",49,0.122448979591837,88669,0.000552617036393779,0.000552617036393779,6.76673922114832e-05
"40",1995,20,"4",6,0,88669,6.76673922114832e-05,6.76673922114832e-05,0
"41",1995,21,"1",2386,0.112740989103101,88669,0.0269090663027665,0.0269090663027665,0.00303375475081483
"42",1995,21,"2",884,0.0667420814479638,88669,0.00996966245249185,0.00996966245249185,0.000665396023412918
"43",1995,21,"3",131,0.106870229007634,88669,0.00147740472995072,0.00147740472995072,0.000157890581826794
"44",1995,21,"4",18,0.111111111111111,88669,0.000203002176634449,0.000203002176634449,2.25557974038277e-05
"45",1995,22,"1",2553,0.112808460634548,88669,0.0287924753859861,0.0287924753859861,0.00324803482615119
"46",1995,22,"2",1365,0.0703296703296703,88669,0.0153943317281124,0.0153943317281124,0.00108267827538373
"47",1995,22,"3",204,0.0833333333333333,88669,0.00230069133519043,0.00230069133519043,0.000191724277932536
"48",1995,22,"4",32,0.03125,88669,0.000360892758461243,0.000360892758461243,1.12778987019139e-05
"49",1995,23,"1",2939,0.128955427015992,88669,0.0331457442849248,0.0331457442849248,0.00427432360802535
"50",1995,23,"2",1750,0.0651428571428571,88669,0.0197363227283493,0.0197363227283493,0.00128568045201818
"51",1995,23,"3",288,0.0659722222222222,88669,0.00324803482615119,0.00324803482615119,0.000214280075336363
"52",1995,23,"4",46,0.152173913043478,88669,0.000518783340288038,0.000518783340288038,7.8945290913397e-05
"53",1995,24,"1",3061,0.130676249591637,88669,0.0345216479265583,0.0345216479265583,0.00451115948076554
"54",1995,24,"2",2150,0.0841860465116279,88669,0.0242474822091148,0.0242474822091148,0.00204129966504641
"55",1995,24,"3",398,0.0678391959798995,88669,0.00448860368336172,0.00448860368336172,0.000304503264951674
"56",1995,24,"4",82,0.0853658536585366,88669,0.000924787693556936,0.000924787693556936,7.8945290913397e-05
"57",1995,25,"1",3456,0.143518518518519,88669,0.0389764179138143,0.0389764179138143,0.00559383775614928
"58",1995,25,"2",2511,0.0800477897252091,88669,0.0283188036405057,0.0283188036405057,0.00226685763908469
"59",1995,25,"3",551,0.0907441016333938,88669,0.00621412218475454,0.00621412218475454,0.000563894935095693
"60",1995,25,"4",110,0.0818181818181818,88669,0.00124056885721052,0.00124056885721052,0.000101501088317225
"61",1995,26,"1",3426,0.140105078809107,88669,0.0386380809527569,0.0386380809527569,0.00541339137691865
"62",1995,26,"2",2885,0.082842287694974,88669,0.0325367377550215,0.0325367377550215,0.00269541778975741
"63",1995,26,"3",716,0.079608938547486,88669,0.00807497547057032,0.00807497547057032,0.00064284022600909
"64",1995,26,"4",181,0.0497237569060773,88669,0.00204129966504641,0.00204129966504641,0.000101501088317225
"65",1995,27,"1",3123,0.165545949407621,88669,0.035220877646077,0.035220877646077,0.00583067362888947
"66",1995,27,"2",2968,0.0946765498652291,88669,0.0334728033472803,0.0334728033472803,0.00316908953523779
"67",1995,27,"3",867,0.0830449826989619,88669,0.00977793817455932,0.00977793817455932,0.000812008706537798
"68",1995,27,"4",193,0.0673575129533679,88669,0.00217663444946937,0.00217663444946937,0.00014661268312488
"69",1995,28,"1",2726,0.154805575935437,88669,0.0307435518614172,0.0307435518614172,0.00475927325220765
"70",1995,28,"2",2926,0.0933014354066986,88669,0.0329991316018,0.0329991316018,0.00307886634562248
"71",1995,28,"3",921,0.0825190010857763,88669,0.0103869447044627,0.0103869447044627,0.000857120301345453
"72",1995,28,"4",261,0.0919540229885057,88669,0.00294353156119952,0.00294353156119952,0.000270669568845933
"73",1995,29,"1",2328,0.168384879725086,88669,0.0262549481780555,0.0262549481780555,0.00442093629115023
"74",1995,29,"2",2801,0.0992502677615137,88669,0.0315893942640607,0.0315893942640607,0.00313525583913205
"75",1995,29,"3",1017,0.0757128810226155,88669,0.0114696229798464,0.0114696229798464,0.000868398200047367
"76",1995,29,"4",318,0.0660377358490566,88669,0.00358637178720861,0.00358637178720861,0.000236835872740191
"77",1995,30,"1",1957,0.177823198773633,88669,0.0220708477596454,0.0220708477596454,0.00392470874826602
"78",1995,30,"2",2479,0.110125050423558,88669,0.0279579108820445,0.0279579108820445,0.00307886634562248
"79",1995,30,"3",1127,0.0913930789707187,88669,0.0127101918370569,0.0127101918370569,0.00116162356629713
"80",1995,30,"4",389,0.06426735218509,88669,0.00438710259504449,0.00438710259504449,0.000281947467547846
"81",1995,31,"1",1588,0.21095717884131,88669,0.0179093031386392,0.0179093031386392,0.00377809606514114
"82",1995,31,"2",2092,0.11472275334608,88669,0.0235933640844038,0.0235933640844038,0.00270669568845933
"83",1995,31,"3",1051,0.107516650808754,88669,0.0118530715357115,0.0118530715357115,0.00127440255331627
"84",1995,31,"4",369,0.0650406504065041,88669,0.00416154462100621,0.00416154462100621,0.000270669568845933
"85",1995,32,"1",1136,0.213908450704225,88669,0.0128116929253741,0.0128116929253741,0.00274052938456507
"86",1995,32,"2",1703,0.130358191426894,88669,0.0192062614893593,0.0192062614893593,0.00250369351182488
"87",1995,32,"3",933,0.0889603429796356,88669,0.0105222794888856,0.0105222794888856,0.00093606559225885
"88",1995,32,"4",401,0.084788029925187,88669,0.00452243737946746,0.00452243737946746,0.000383448555865071
"89",1995,33,"1",958,0.2160751565762,88669,0.0108042269564335,0.0108042269564335,0.00233452503129617
"90",1995,33,"2",1359,0.125827814569536,88669,0.0153266643359009,0.0153266643359009,0.00192852067802727
"91",1995,33,"3",845,0.105325443786982,88669,0.00952982440311721,0.00952982440311721,0.00100373298447033
"92",1995,33,"4",435,0.0758620689655172,88669,0.00490588593533253,0.00490588593533253,0.000372170657163157
"93",1995,34,"1",639,0.234741784037559,88669,0.00720657727052296,0.00720657727052296,0.00169168480528708
"94",1995,34,"2",985,0.148223350253807,88669,0.0111087302213852,0.0111087302213852,0.00164657321047942
"95",1995,34,"3",728,0.105769230769231,88669,0.00821031025499329,0.00821031025499329,0.000868398200047367
"96",1995,34,"4",402,0.0870646766169154,88669,0.00453371527816937,0.00453371527816937,0.000394726454566985
"97",1995,35,"1",529,0.255198487712665,88669,0.00596600841331243,0.00596600841331243,0.00152251632475837
"98",1995,35,"2",749,0.148197596795728,88669,0.00844714612773348,0.00844714612773348,0.00125184675591244
"99",1995,35,"3",544,0.143382352941176,88669,0.00613517689384114,0.00613517689384114,0.000879676098749281
"100",1995,35,"4",407,0.0982800982800983,88669,0.00459010477167894,0.00459010477167894,0.000451115948076554
"101",1995,36,"1",364,0.307692307692308,88669,0.00410515512749664,0.00410515512749664,0.00126312465461435
"102",1995,36,"2",579,0.186528497409326,88669,0.00652990334840812,0.00652990334840812,0.0012180130598067
"103",1995,36,"3",448,0.174107142857143,88669,0.00505249861845741,0.00505249861845741,0.000879676098749281
"104",1995,36,"4",315,0.120634920634921,88669,0.00355253809110287,0.00355253809110287,0.000428560150672727
"105",1995,37,"1",250,0.324,88669,0.00281947467547847,0.00281947467547847,0.000913509794855023
"106",1995,37,"2",383,0.219321148825065,88669,0.00431943520283301,0.00431943520283301,0.000947343490960764
"107",1995,37,"3",340,0.135294117647059,88669,0.00383448555865071,0.00383448555865071,0.000518783340288038
"108",1995,37,"4",302,0.0695364238410596,88669,0.00340592540797799,0.00340592540797799,0.000236835872740191
"109",1995,38,"1",216,0.333333333333333,88669,0.00243602611961339,0.00243602611961339,0.000812008706537798
"110",1995,38,"2",300,0.223333333333333,88669,0.00338336961057416,0.00338336961057416,0.000755619213028229
"111",1995,38,"3",252,0.130952380952381,88669,0.00284203047288229,0.00284203047288229,0.000372170657163157
"112",1995,38,"4",218,0.0871559633027523,88669,0.00245858191701722,0.00245858191701722,0.000214280075336363
"113",1995,39,"1",130,0.323076923076923,88669,0.0014661268312488,0.0014661268312488,0.000473671745480382
"114",1995,39,"2",192,0.213541666666667,88669,0.00216535655076746,0.00216535655076746,0.000462393846778468
"115",1995,39,"3",162,0.123456790123457,88669,0.00182701958971005,0.00182701958971005,0.000225557974038277
"116",1995,39,"4",196,0.122448979591837,88669,0.00221046814557512,0.00221046814557512,0.000270669568845933
"117",1995,40,"1",79,0.455696202531646,88669,0.000890953997451195,0.000890953997451195,0.000406004353268899
"118",1995,40,"2",107,0.196261682242991,88669,0.00120673516110478,0.00120673516110478,0.000236835872740191
"119",1995,40,"3",113,0.123893805309735,88669,0.00127440255331627,0.00127440255331627,0.000157890581826794
"120",1995,40,"4",134,0.149253731343284,88669,0.00151123842605646,0.00151123842605646,0.000225557974038277
"121",1995,41,"1",38,0.5,88669,0.000428560150672727,0.000428560150672727,0.000214280075336363
"122",1995,41,"2",51,0.215686274509804,88669,0.000575172833797607,0.000575172833797607,0.000124056885721052
"123",1995,41,"3",78,0.153846153846154,88669,0.000879676098749281,0.000879676098749281,0.000135334784422966
"124",1995,41,"4",92,0.184782608695652,88669,0.00103756668057608,0.00103756668057608,0.000191724277932536
"125",1995,42,"1",32,0.40625,88669,0.000360892758461243,0.000360892758461243,0.00014661268312488
"126",1995,42,"2",31,0.419354838709677,88669,0.00034961485975933,0.00034961485975933,0.00014661268312488
"127",1995,42,"3",41,0.24390243902439,88669,0.000462393846778468,0.000462393846778468,0.000112778987019139
"128",1995,42,"4",76,0.144736842105263,88669,0.000857120301345453,0.000857120301345453,0.000124056885721052
"129",1995,43,"1",16,0.5,88669,0.000180446379230622,0.000180446379230622,9.02231896153109e-05
"130",1995,43,"2",23,0.260869565217391,88669,0.000259391670144019,0.000259391670144019,6.76673922114832e-05
"131",1995,43,"3",27,0.222222222222222,88669,0.000304503264951674,0.000304503264951674,6.76673922114832e-05
"132",1995,43,"4",42,0.142857142857143,88669,0.000473671745480382,0.000473671745480382,6.76673922114832e-05
"133",1995,44,"1",4,0.5,88669,4.51115948076554e-05,4.51115948076554e-05,2.25557974038277e-05
"134",1995,44,"2",8,0.25,88669,9.02231896153109e-05,9.02231896153109e-05,2.25557974038277e-05
"135",1995,44,"3",19,0.105263157894737,88669,0.000214280075336363,0.000214280075336363,2.25557974038277e-05
"136",1995,44,"4",23,0.0869565217391304,88669,0.000259391670144019,0.000259391670144019,2.25557974038277e-05
"137",1995,45,"1",3,0.333333333333333,88669,3.38336961057416e-05,3.38336961057416e-05,1.12778987019139e-05
"138",1995,45,"2",4,0.25,88669,4.51115948076554e-05,4.51115948076554e-05,1.12778987019139e-05
"139",1995,45,"3",7,0.285714285714286,88669,7.8945290913397e-05,7.8945290913397e-05,2.25557974038277e-05
"140",1995,45,"4",18,0.388888888888889,88669,0.000203002176634449,0.000203002176634449,7.8945290913397e-05
"141",1995,46,"1",1,0,88669,1.12778987019139e-05,1.12778987019139e-05,0
"142",1995,46,"2",0,0,88669,0,0,0
"143",1995,46,"3",1,1,88669,1.12778987019139e-05,1.12778987019139e-05,1.12778987019139e-05
"144",1995,46,"4",9,0.333333333333333,88669,0.000101501088317225,0.000101501088317225,3.38336961057416e-05
"145",1995,47,"1",0,0,88669,0,0,0
"146",1995,47,"2",1,0,88669,1.12778987019139e-05,1.12778987019139e-05,0
"147",1995,47,"3",2,0,88669,2.25557974038277e-05,2.25557974038277e-05,0
"148",1995,47,"4",6,0.166666666666667,88669,6.76673922114832e-05,6.76673922114832e-05,1.12778987019139e-05
"149",1995,48,"1",0,0,88669,0,0,0
"150",1995,48,"2",1,0,88669,1.12778987019139e-05,1.12778987019139e-05,0
"151",1995,48,"3",0,0,88669,0,0,0
"152",1995,48,"4",2,0,88669,2.25557974038277e-05,2.25557974038277e-05,0
"153",1995,49,"1",0,0,88669,0,0,0
"154",1995,49,"2",0,0,88669,0,0,0
"155",1995,49,"3",0,0,88669,0,0,0
"156",1995,49,"4",0,0,88669,0,0,0
"157",1995,50,"1",0,0,88669,0,0,0
"158",1995,50,"2",0,0,88669,0,0,0
"159",1995,50,"3",0,0,88669,0,0,0
"160",1995,50,"4",1,0,88669,1.12778987019139e-05,1.12778987019139e-05,0
"161",1995,51,"1",0,0,88669,0,0,0
"162",1995,51,"2",0,0,88669,0,0,0
"163",1995,51,"3",0,0,88669,0,0,0
"164",1995,51,"4",0,0,88669,0,0,0
"165",1995,52,"1",0,0,88669,0,0,0
"166",1995,52,"2",0,0,88669,0,0,0
"167",1995,52,"3",0,0,88669,0,0,0
"168",1995,52,"4",0,0,88669,0,0,0
"169",1995,53,"1",0,0,88669,0,0,0
"170",1995,53,"2",0,0,88669,0,0,0
"171",1995,53,"3",0,0,88669,0,0,0
"172",1995,53,"4",0,0,88669,0,0,0
"173",1995,54,"1",0,0,88669,0,0,0
"174",1995,54,"2",0,0,88669,0,0,0
"175",1995,54,"3",0,0,88669,0,0,0
"176",1995,54,"4",0,0,88669,0,0,0
"177",1995,55,"1",0,0,88669,0,0,0
"178",1995,55,"2",0,0,88669,0,0,0
"179",1995,55,"3",0,0,88669,0,0,0
"180",1995,55,"4",0,0,88669,0,0,0
"181",1995,56,"1",0,0,88669,0,0,0
"182",1995,56,"2",0,0,88669,0,0,0
"183",1995,56,"3",0,0,88669,0,0,0
"184",1995,56,"4",0,0,88669,0,0,0
"185",1995,57,"1",0,0,88669,0,0,0
"186",1995,57,"2",0,0,88669,0,0,0
"187",1995,57,"3",0,0,88669,0,0,0
"188",1995,57,"4",0,0,88669,0,0,0
"189",1995,58,"1",0,0,88669,0,0,0
"190",1995,58,"2",0,0,88669,0,0,0
"191",1995,58,"3",0,0,88669,0,0,0
"192",1995,58,"4",0,0,88669,0,0,0
"193",1995,59,"1",0,0,88669,0,0,0
"194",1995,59,"2",0,0,88669,0,0,0
"195",1995,59,"3",0,0,88669,0,0,0
"196",1995,59,"4",0,0,88669,0,0,0
"197",1995,60,"1",0,0,88669,0,0,0
"198",1995,60,"2",0,0,88669,0,0,0
"199",1995,60,"3",0,0,88669,0,0,0
"200",1995,60,"4",0,0,88669,0,0,0
"201",1995,61,"1",0,0,88669,0,0,0
"202",1995,61,"2",0,0,88669,0,0,0
"203",1995,61,"3",0,0,88669,0,0,0
"204",1995,61,"4",0,0,88669,0,0,0
"205",1995,66,"1",0,0,88669,0,0,0
"206",1995,66,"2",0,0,88669,0,0,0
"207",1995,66,"3",0,0,88669,0,0,0
"208",1995,66,"4",0,0,88669,0,0,0
"209",1996,11,"1",0,0,88809,0,1.12778987019139e-05,0
"210",1996,11,"2",0,0,88809,0,0,0
"211",1996,11,"3",0,0,88809,0,0,0
"212",1996,11,"4",0,0,88809,0,0,0
"213",1996,12,"1",0,0,88809,0,0,0
"214",1996,12,"2",0,0,88809,0,0,0
"215",1996,12,"3",0,0,88809,0,0,0
"216",1996,12,"4",0,0,88809,0,0,0
"217",1996,13,"1",2,0,88809,2.25202400657591e-05,3.38336961057416e-05,0
"218",1996,13,"2",0,0,88809,0,0,0
"219",1996,13,"3",0,0,88809,0,0,0
"220",1996,13,"4",0,0,88809,0,0,0
"221",1996,14,"1",9,0,88809,0.000101341080295916,0.000135334784422966,0
"222",1996,14,"2",0,0,88809,0,2.25557974038277e-05,0
"223",1996,14,"3",0,0,88809,0,0,0
"224",1996,14,"4",0,0,88809,0,0,0
"225",1996,15,"1",45,0.111111111111111,88809,0.00050670540147958,0.000800730807835884,8.89700897595427e-05
"226",1996,15,"2",1,0,88809,1.12601200328796e-05,3.38336961057416e-05,0
"227",1996,15,"3",0,0,88809,0,0,0
"228",1996,15,"4",0,0,88809,0,0,0
"229",1996,16,"1",204,0.0833333333333333,88809,0.00229706448670743,0.00239091452480574,0.000199242877067145
"230",1996,16,"2",9,0.111111111111111,88809,0.000101341080295916,6.76673922114832e-05,7.51859913460924e-06
"231",1996,16,"3",1,0,88809,1.12601200328796e-05,0,0
"232",1996,16,"4",0,0,88809,0,0,0
"233",1996,17,"1",481,0.103950103950104,88809,0.00541611773581506,0.00633817907047559,0.000658854373230311
"234",1996,17,"2",42,0.119047619047619,88809,0.000472925041380941,0.000417282251970813,4.96764585679539e-05
"235",1996,17,"3",1,1,88809,1.12601200328796e-05,3.38336961057416e-05,3.38336961057416e-05
"236",1996,17,"4",0,0,88809,0,0,0
"237",1996,18,"1",866,0.109699769053118,88809,0.00975126394847369,0.0103869447044627,0.00113944543524706
"238",1996,18,"2",103,0.0679611650485437,88809,0.00115979236338659,0.00128568045201818,8.73763413992938e-05
"239",1996,18,"3",10,0,88809,0.000112601200328796,6.76673922114832e-05,0
"240",1996,18,"4",2,0.5,88809,2.25202400657591e-05,0,0
"241",1996,19,"1",1467,0.103612815269257,88809,0.0165185960882343,0.0186536444529655,0.00193275661680352
"242",1996,19,"2",238,0.0756302521008403,88809,0.00267990856782533,0.00289841996639186,0.000219208232752326
"243",1996,19,"3",26,0.230769230769231,88809,0.000292763120854868,0.000315781163653588,7.28725762277511e-05
"244",1996,19,"4",0,0,88809,0,2.25557974038277e-05,0
"245",1996,20,"1",1911,0.119832548403977,88809,0.0215180893828328,0.023300138718154,0.00279211500076257
"246",1996,20,"2",501,0.0898203592814371,88809,0.00564132013647265,0.00609006529903348,0.0005470118532066
"247",1996,20,"3",32,0.15625,88809,0.000360323841052146,0.000552617036393779,8.6346411936528e-05
"248",1996,20,"4",6,0,88809,6.75607201972773e-05,6.76673922114832e-05,0
"249",1996,21,"1",2264,0.121466431095406,88809,0.0254929117544393,0.0269090663027665,0.0032685482479067
"250",1996,21,"2",822,0.0644768856447689,88809,0.00925581866702699,0.00996966245249185,0.000642812785866263
"251",1996,21,"3",105,0.0857142857142857,88809,0.00118231260345235,0.00147740472995072,0.000126634691138633
"252",1996,21,"4",15,0.0666666666666667,88809,0.000168901800493193,0.000203002176634449,1.35334784422966e-05
"253",1996,22,"1",2477,0.12474767864352,88809,0.0278913173214426,0.0287924753859861,0.00359179446680246
"254",1996,22,"2",1302,0.0791090629800307,88809,0.0146606762828092,0.0153943317281124,0.00121783115821473
"255",1996,22,"3",191,0.0837696335078534,88809,0.00215068292627999,0.00230069133519043,0.000192728069963596
"256",1996,22,"4",41,0.024390243902439,88809,0.000461664921348062,0.000360892758461243,8.80226240149374e-06
"257",1996,23,"1",2709,0.119601328903654,88809,0.0305036651690707,0.0331457442849248,0.00396427506397772
"258",1996,23,"2",1685,0.0771513353115727,88809,0.018973302255402,0.0197363227283493,0.00152268365263229
"259",1996,23,"3",267,0.0936329588014981,88809,0.00300645204877884,0.00324803482615119,0.000304123111062846
"260",1996,23,"4",49,0.142857142857143,88809,0.000551745881611098,0.000518783340288038,7.41119057554339e-05
"261",1996,24,"1",3080,0.135714285714286,88809,0.034681169701269,0.0345216479265583,0.00468508079003292
"262",1996,24,"2",2128,0.0690789473684211,88809,0.0239615354299677,0.0242474822091148,0.00167499054734017
"263",1996,24,"3",421,0.0807600950118765,88809,0.00474051053384229,0.00448860368336172,0.000362500059938951
"264",1996,24,"4",82,0.109756097560976,88809,0.000923329842696123,0.000924787693556936,0.000101501088317225
"265",1996,25,"1",3210,0.139563862928349,88809,0.0361449853055434,0.0389764179138143,0.00543969944716162
"266",1996,25,"2",2451,0.0852713178294574,88809,0.0275985542005878,0.0283188036405057,0.00241478170577956
"267",1996,25,"3",488,0.0942622950819672,88809,0.00549493857604522,0.00621412218475454,0.000585757419054731
"268",1996,25,"4",103,0.12621359223301,88809,0.00115979236338659,0.00124056885721052,0.00015657665188094
"269",1996,26,"1",3335,0.144527736131934,88809,0.0375525003096533,0.0386380809527569,0.00558427436858435
"270",1996,26,"2",2642,0.0817562452687358,88809,0.0297492371268678,0.0325367377550215,0.00266008151214407
"271",1996,26,"3",677,0.0930576070901034,88809,0.00762310126225946,0.00807497547057032,0.000751437894602556
"272",1996,26,"4",164,0.103658536585366,88809,0.00184665968539225,0.00204129966504641,0.000211598136010908
"273",1996,27,"1",3260,0.153067484662577,88809,0.0367079913071873,0.035220877646077,0.00539117114889338
"274",1996,27,"2",2932,0.0951568894952251,88809,0.0330146719364028,0.0334728033472803,0.00318516784921256
"275",1996,27,"3",837,0.0943847072879331,88809,0.00942472046752018,0.00977793817455932,0.000922887832485288
"276",1996,27,"4",226,0.0619469026548673,88809,0.00254478712743078,0.00217663444946937,0.00013483576235651
"277",1996,28,"1",2811,0.170046246887229,88809,0.0316521974124244,0.0307435518614172,0.00522782561001687
"278",1996,28,"2",2950,0.112203389830508,88809,0.0332173540969947,0.0329991316018,0.00370261442718501
"279",1996,28,"3",905,0.087292817679558,88809,0.010190408629756,0.0103869447044627,0.00090670567033431
"280",1996,28,"4",245,0.0857142857142857,88809,0.00275872940805549,0.00294353156119952,0.000252302705245673
"281",1996,29,"1",2537,0.186046511627907,88809,0.0285669245234154,0.0262549481780555,0.00488464152149869
"282",1996,29,"2",2815,0.109413854351687,88809,0.0316972378925559,0.0315893942640607,0.00345631738306597
"283",1996,29,"3",947,0.0865892291446674,88809,0.0106633336711369,0.0114696229798464,0.000993145812404862
"284",1996,29,"4",257,0.0739299610894942,88809,0.00289385084845004,0.00358637178720861,0.000265140326680792
"285",1996,30,"1",2111,0.187588820464235,88809,0.0237701133894087,0.0220708477596454,0.00414024429787759
"286",1996,30,"2",2496,0.126602564102564,88809,0.0281052596020674,0.0279579108820445,0.00353954320461781
"287",1996,30,"3",1081,0.0962072155411656,88809,0.0121721897555428,0.0127101918370569,0.0012228121656373
"288",1996,30,"4",339,0.0737463126843658,88809,0.00381718069114617,0.00438710259504449,0.000323532639752544
"289",1996,31,"1",1716,0.202797202797203,88809,0.0193223659764213,0.0179093031386392,0.0036319565805632
"290",1996,31,"2",2234,0.116830796777081,88809,0.0251551081534529,0.0235933640844038,0.00275643152463267
"291",1996,31,"3",1093,0.110704483074108,88809,0.0123073111959373,0.0118530715357115,0.00131218815720136
"292",1996,31,"4",382,0.081151832460733,88809,0.00430136585255999,0.00416154462100621,0.000337716971861761
"293",1996,32,"1",1338,0.210014947683109,88809,0.0150660406039928,0.0128116929253741,0.00269064701945451
"294",1996,32,"2",1810,0.140883977900552,88809,0.020380817259512,0.0192062614893593,0.00270585451921913
"295",1996,32,"3",990,0.116161616161616,88809,0.0111475188325508,0.0105222794888856,0.00122228499113318
"296",1996,32,"4",415,0.108433734939759,88809,0.00467294981364501,0.00452243737946746,0.000490384776086833
"297",1996,33,"1",997,0.223671013039117,88809,0.0112263396727809,0.0108042269564335,0.00241659238845002
"298",1996,33,"2",1480,0.148648648648649,88809,0.0166649776486617,0.0153266643359009,0.00227828794182311
"299",1996,33,"3",859,0.0954598370197905,88809,0.00967244310824353,0.00952982440311721,0.000909715484348791
"300",1996,33,"4",444,0.0743243243243243,88809,0.00499949329459852,0.00490588593533253,0.000364626657355796
"301",1996,34,"1",775,0.272258064516129,88809,0.00872659302548165,0.00720657727052296,0.00196204877945851
"302",1996,34,"2",1111,0.144014401440144,88809,0.0125099933565292,0.0111087302213852,0.00159981713359282
"303",1996,34,"3",775,0.116129032258065,88809,0.00872659302548165,0.00821031025499329,0.000953455384450834
"304",1996,34,"4",399,0.0802005012531328,88809,0.00449278789311894,0.00453371527816937,0.00036360623784817
"305",1996,35,"1",594,0.294612794612795,88809,0.00668851129953045,0.00596600841331243,0.00175766241132942
"306",1996,35,"2",837,0.176821983273596,88809,0.00942472046752018,0.00844714612773348,0.00149364113130771
"307",1996,35,"3",591,0.120135363790186,88809,0.00665473093943181,0.00613517689384114,0.000737051708058749
"308",1996,35,"4",388,0.11340206185567,88809,0.00436892657275727,0.00459010477167894,0.000520527345241942
"309",1996,36,"1",417,0.278177458033573,88809,0.00469547005371077,0.00410515512749664,0.00114196161820051
"310",1996,36,"2",614,0.171009771986971,88809,0.00691371370018804,0.00652990334840812,0.00111667728270823
