"","ALTM","GEBURTENFOLGE_LEB","referencedistripar"
"1",11,"1",1.12778987019139e-05
"2",11,"2",0
"3",11,"3",0
"4",11,"4",0
"5",12,"1",0
"6",12,"2",0
"7",12,"3",0
"8",12,"4",0
"9",13,"1",3.38336961057416e-05
"10",13,"2",0
"11",13,"3",0
"12",13,"4",0
"13",14,"1",0.000135334784422966
"14",14,"2",2.25557974038277e-05
"15",14,"3",0
"16",14,"4",0
"17",15,"1",0.000800730807835884
"18",15,"2",3.38336961057416e-05
"19",15,"3",0
"20",15,"4",0
"21",16,"1",0.00239091452480574
"22",16,"2",6.76673922114832e-05
"23",16,"3",0
"24",16,"4",0
"25",17,"1",0.00633817907047559
"26",17,"2",0.000417282251970813
"27",17,"3",3.38336961057416e-05
"28",17,"4",0
"29",18,"1",0.0103869447044627
"30",18,"2",0.00128568045201818
"31",18,"3",6.76673922114832e-05
"32",18,"4",0
"33",19,"1",0.0186536444529655
"34",19,"2",0.00289841996639186
"35",19,"3",0.000315781163653588
"36",19,"4",2.25557974038277e-05
"37",20,"1",0.023300138718154
"38",20,"2",0.00609006529903348
"39",20,"3",0.000552617036393779
"40",20,"4",6.76673922114832e-05
"41",21,"1",0.0269090663027665
"42",21,"2",0.00996966245249185
"43",21,"3",0.00147740472995072
"44",21,"4",0.000203002176634449
"45",22,"1",0.0287924753859861
"46",22,"2",0.0153943317281124
"47",22,"3",0.00230069133519043
"48",22,"4",0.000360892758461243
"49",23,"1",0.0331457442849248
"50",23,"2",0.0197363227283493
"51",23,"3",0.00324803482615119
"52",23,"4",0.000518783340288038
"53",24,"1",0.0345216479265583
"54",24,"2",0.0242474822091148
"55",24,"3",0.00448860368336172
"56",24,"4",0.000924787693556936
"57",25,"1",0.0389764179138143
"58",25,"2",0.0283188036405057
"59",25,"3",0.00621412218475454
"60",25,"4",0.00124056885721052
"61",26,"1",0.0386380809527569
"62",26,"2",0.0325367377550215
"63",26,"3",0.00807497547057032
"64",26,"4",0.00204129966504641
"65",27,"1",0.035220877646077
"66",27,"2",0.0334728033472803
"67",27,"3",0.00977793817455932
"68",27,"4",0.00217663444946937
"69",28,"1",0.0307435518614172
"70",28,"2",0.0329991316018
"71",28,"3",0.0103869447044627
"72",28,"4",0.00294353156119952
"73",29,"1",0.0262549481780555
"74",29,"2",0.0315893942640607
"75",29,"3",0.0114696229798464
"76",29,"4",0.00358637178720861
"77",30,"1",0.0220708477596454
"78",30,"2",0.0279579108820445
"79",30,"3",0.0127101918370569
"80",30,"4",0.00438710259504449
"81",31,"1",0.0179093031386392
"82",31,"2",0.0235933640844038
"83",31,"3",0.0118530715357115
"84",31,"4",0.00416154462100621
"85",32,"1",0.0128116929253741
"86",32,"2",0.0192062614893593
"87",32,"3",0.0105222794888856
"88",32,"4",0.00452243737946746
"89",33,"1",0.0108042269564335
"90",33,"2",0.0153266643359009
"91",33,"3",0.00952982440311721
"92",33,"4",0.00490588593533253
"93",34,"1",0.00720657727052296
"94",34,"2",0.0111087302213852
"95",34,"3",0.00821031025499329
"96",34,"4",0.00453371527816937
"97",35,"1",0.00596600841331243
"98",35,"2",0.00844714612773348
"99",35,"3",0.00613517689384114
"100",35,"4",0.00459010477167894
"101",36,"1",0.00410515512749664
"102",36,"2",0.00652990334840812
"103",36,"3",0.00505249861845741
"104",36,"4",0.00355253809110287
"105",37,"1",0.00281947467547847
"106",37,"2",0.00431943520283301
"107",37,"3",0.00383448555865071
"108",37,"4",0.00340592540797799
"109",38,"1",0.00243602611961339
"110",38,"2",0.00338336961057416
"111",38,"3",0.00284203047288229
"112",38,"4",0.00245858191701722
"113",39,"1",0.0014661268312488
"114",39,"2",0.00216535655076746
"115",39,"3",0.00182701958971005
"116",39,"4",0.00221046814557512
"117",40,"1",0.000890953997451195
"118",40,"2",0.00120673516110478
"119",40,"3",0.00127440255331627
"120",40,"4",0.00151123842605646
"121",41,"1",0.000428560150672727
"122",41,"2",0.000575172833797607
"123",41,"3",0.000879676098749281
"124",41,"4",0.00103756668057608
"125",42,"1",0.000360892758461243
"126",42,"2",0.00034961485975933
"127",42,"3",0.000462393846778468
"128",42,"4",0.000857120301345453
"129",43,"1",0.000180446379230622
"130",43,"2",0.000259391670144019
"131",43,"3",0.000304503264951674
"132",43,"4",0.000473671745480382
"133",44,"1",4.51115948076554e-05
"134",44,"2",9.02231896153109e-05
"135",44,"3",0.000214280075336363
"136",44,"4",0.000259391670144019
"137",45,"1",3.38336961057416e-05
"138",45,"2",4.51115948076554e-05
"139",45,"3",7.8945290913397e-05
"140",45,"4",0.000203002176634449
"141",46,"1",1.12778987019139e-05
"142",46,"2",0
"143",46,"3",1.12778987019139e-05
"144",46,"4",0.000101501088317225
"145",47,"1",0
"146",47,"2",1.12778987019139e-05
"147",47,"3",2.25557974038277e-05
"148",47,"4",6.76673922114832e-05
"149",48,"1",0
"150",48,"2",1.12778987019139e-05
"151",48,"3",0
"152",48,"4",2.25557974038277e-05
"153",49,"1",0
"154",49,"2",0
"155",49,"3",0
"156",49,"4",0
"157",50,"1",0
"158",50,"2",0
"159",50,"3",0
"160",50,"4",1.12778987019139e-05
"161",51,"1",0
"162",51,"2",0
"163",51,"3",0
"164",51,"4",0
"165",52,"1",0
"166",52,"2",0
"167",52,"3",0
"168",52,"4",0
"169",53,"1",0
"170",53,"2",0
"171",53,"3",0
"172",53,"4",0
"173",54,"1",0
"174",54,"2",0
"175",54,"3",0
"176",54,"4",0
"177",55,"1",0
"178",55,"2",0
"179",55,"3",0
"180",55,"4",0
"181",56,"1",0
"182",56,"2",0
"183",56,"3",0
"184",56,"4",0
"185",57,"1",0
"186",57,"2",0
"187",57,"3",0
"188",57,"4",0
"189",58,"1",0
"190",58,"2",0
"191",58,"3",0
"192",58,"4",0
"193",59,"1",0
"194",59,"2",0
"195",59,"3",0
"196",59,"4",0
"197",60,"1",0
"198",60,"2",0
"199",60,"3",0
"200",60,"4",0
"201",61,"1",0
"202",61,"2",0
"203",61,"3",0
"204",61,"4",0
"205",66,"1",0
"206",66,"2",0
"207",66,"3",0
"208",66,"4",0
