"","GEBJAHR","GEBURTENFOLGE_LEB","totalperparity","totalbirths","relfreq"
"1",1995,1,39440,88669,0.444800324803483
"2",1995,2,32246,88669,0.363667121541914
"3",1995,3,11897,88669,0.134173160856669
"4",1995,4,3541,88669,0.039935039303477
"5",1995,5,1021,88669,0.0115147345746541
"6",1995,6,326,88669,0.00367659497682392
"7",1995,7,107,88669,0.00120673516110478
"8",1995,8,50,88669,0.000563894935095693
"9",1995,9,25,88669,0.000281947467547846
"10",1995,10,8,88669,9.02231896153109e-05
"11",1995,11,6,88669,6.76673922114832e-05
"12",1995,14,1,88669,1.12778987019139e-05
"13",1995,18,1,88669,1.12778987019139e-05
"14",1996,1,39462,88809,0.444346856737493
"15",1996,2,32443,88809,0.365312074226711
"16",1996,3,11878,88809,0.133747705750543
"17",1996,4,3534,88809,0.0397932641961963
"18",1996,5,971,88809,0.010933576551926
"19",1996,6,324,88809,0.00364827889065297
"20",1996,7,104,88809,0.00117105248341947
"21",1996,8,58,88809,0.000653086961907014
"22",1996,9,19,88809,0.000213942280624711
"23",1996,10,9,88809,0.000101341080295916
"24",1996,11,6,88809,6.75607201972773e-05
"25",1996,12,1,88809,1.12601200328796e-05
"26",1997,1,37932,84045,0.451329644833125
"27",1997,2,30093,84045,0.358058183116188
"28",1997,3,11400,84045,0.135641620560414
"29",1997,4,3255,84045,0.0387292521863287
"30",1997,5,894,84045,0.0106371586650009
"31",1997,6,271,84045,0.00322446308525195
"32",1997,7,94,84045,0.00111844845023499
"33",1997,8,58,84045,0.000690106490570528
"34",1997,9,27,84045,0.000321256469748349
"35",1997,10,11,84045,0.000130882265453031
"36",1997,11,3,84045,3.56951633053721e-05
"37",1997,12,3,84045,3.56951633053721e-05
"38",1997,13,2,84045,2.37967755369147e-05
"39",1997,14,1,84045,1.18983877684574e-05
"40",1997,15,1,84045,1.18983877684574e-05
"41",1998,1,36408,81233,0.448192237145003
"42",1998,2,29490,81233,0.363029803158815
"43",1998,3,10805,81233,0.133012445680942
"44",1998,4,3158,81233,0.0388758263267391
"45",1998,5,884,81233,0.0108822769071683
"46",1998,6,310,81233,0.00381618307830561
"47",1998,7,103,81233,0.00126795760343703
"48",1998,8,48,81233,0.000590892863737644
"49",1998,9,13,81233,0.000160033483928945
"50",1998,10,9,81233,0.000110792411950808
"51",1998,11,3,81233,3.69308039836027e-05
"52",1998,13,1,81233,1.23102679945342e-05
"53",1998,15,1,81233,1.23102679945342e-05
"54",1999,1,35449,78138,0.453671709027618
"55",1999,2,27909,78138,0.357175765952546
"56",1999,3,10343,78138,0.132368373902583
"57",1999,4,3114,78138,0.0398525685325962
"58",1999,5,871,78138,0.0111469451483273
"59",1999,6,277,78138,0.00354501011031764
"60",1999,7,92,78138,0.00117740407996109
"61",1999,8,43,78138,0.000550308428677468
"62",1999,9,21,78138,0.000268755279121554
"63",1999,10,13,78138,0.000166372315646676
"64",1999,11,2,78138,2.55957408687194e-05
"65",1999,12,3,78138,3.83936113030792e-05
"66",1999,13,1,78138,1.27978704343597e-05
"67",2000,1,35575,78268,0.454528031890428
"68",2000,2,28177,78268,0.360006643839117
"69",2000,3,10202,78268,0.13034701282772
"70",2000,4,3060,78268,0.0390964378801043
"71",2000,5,837,78268,0.0106940256554403
"72",2000,6,268,78268,0.0034241324679307
"73",2000,7,89,78268,0.00113711861808146
"74",2000,8,30,78268,0.000383298410589257
"75",2000,9,20,78268,0.000255532273726172
"76",2000,10,5,78268,6.38830684315429e-05
"77",2000,11,4,78268,5.11064547452343e-05
"78",2000,12,1,78268,1.27766136863086e-05
"79",2001,1,34733,75458,0.460295793686554
"80",2001,2,26733,75458,0.354276551194042
"81",2001,3,9830,75458,0.130271144212675
"82",2001,4,2894,75458,0.0383524609716664
"83",2001,5,821,75458,0.0108802247607941
"84",2001,6,268,75458,0.00355164462349917
"85",2001,7,99,75458,0.00131198812584484
"86",2001,8,40,75458,0.000530096212462562
"87",2001,9,23,75458,0.000304805322165973
