"","GEBJAHR","KLINIKTYP","count","meanage","stdage"
"1",1995,"1",36747,25.4754401719868,4.62689627956167
"2",1995,"2",1939,29.3166580711707,4.27954864523895
"3",1996,"1",36945,25.7899580457437,4.66628920429809
"4",1996,"2",1831,29.7586018569088,4.42924348230581
"5",1997,"1",35668,25.9726085006168,4.77442556154823
"6",1997,"2",1585,29.8302839116719,4.30316907916581
"7",1998,"1",34359,26.1689513664542,4.89374923488615
"8",1998,"2",1448,30.2154696132597,4.25279074036275
"9",1999,"1",33582,26.3407777976297,5.00792421377174
"10",1999,"2",1380,30.4963768115942,4.37401035188735
"11",2000,"1",33638,26.4066234615613,5.08263961391905
"12",2000,"2",1441,30.4913254684247,4.41730668070011
"13",2001,"1",32900,26.544103343465,5.26817813900035
"14",2001,"2",1368,30.6301169590643,4.60040702862604
"15",2002,"1",33772,26.6927040151605,5.34109382422271
"16",2002,"2",1469,31.0673927842069,4.55501700484384
"17",2003,"1",33460,26.8378959952182,5.39692822549455
"18",2003,"2",1379,31.0079767947788,4.58343963721835
"19",2004,"1",34641,26.879247134898,5.42768406895117
"20",2004,"2",1354,31.4416543574594,4.79466711438833
"21",2005,"1",34391,27.0349219272484,5.44489180075029
"22",2005,"2",1370,31.521897810219,4.59728403526166
"23",2006,"1",34490,27.1993331400406,5.46720228368749
"24",2006,"2",1468,31.7261580381471,4.54935185173105
"25",2007,"1",33450,27.3140508221226,5.50025450943483
"26",2007,"2",1539,31.7569850552307,4.5898848765389
"27",2008,"1",34520,27.365382387022,5.50275584669142
"28",2008,"2",1603,31.8284466625078,4.66170300710593
"29",2009,"1",34063,27.518979537915,5.49172537651728
"30",2009,"2",1625,32.0584615384615,4.65969024173496
"31",2010,"1",35119,27.736438964663,5.51496542537288
"32",2010,"2",1848,31.9350649350649,4.76429873001799
"33",2011,"1",35205,27.9465700894759,5.48701998517926
"34",2011,"2",1963,31.9403973509934,4.65671867220715
"35",2012,"1",35817,28.1352988804199,5.38839997591733
"36",2012,"2",1864,32.1030042918455,4.5971485932464
"37",2013,"1",35808,28.2649128686327,5.37766070792256
"38",2013,"2",2037,31.9788905252823,4.69429346189379
"39",2014,"1",36771,28.3926735742841,5.30810102875184
"40",2014,"2",2114,32.1967833491012,4.7324107356536
"41",2015,"1",37613,28.577406747667,5.30224890598078
"42",2015,"2",2382,32.088161209068,4.8337104677693
"43",2016,"1",38377,28.6731636136227,5.31160925825541
"44",2016,"2",2373,32.2549515381374,4.73802539253767
